1,126.587152481
2,257.520914078
3,383.006095886
4,544.690847397
5,631.176948547
6,906.701087952
7,983.079910278
8,1100.02684593
9,1220.67594528
10,1265.91396332
11,1778.39183807
12,1587.87894249
13,1686.27405167
14,2073.00806046
15,1969.29311752
16,2185.97912788
17,2135.68305969
18,2254.47392464
19,2345.33596039
20,2524.0149498
21,2662.27698326
22,2769.4671154
23,2902.69517899
24,3101.90391541
25,3192.08312035
26,3312.40391731
27,3629.90903854
28,3928.58695984
29,3916.31913185
30,3870.47195435
31,4037.12582588
32,4065.53411484
33,4204.19287682
34,4342.75317192
35,4508.29386711
36,4640.66910744
37,4818.03798676
38,4925.58097839
39,5088.94491196
40,5369.48895454
41,5314.30101395
42,5468.37210655
43,5637.18605042
44,5749.18007851
45,6781.37302399
46,6069.08988953
47,6198.69303703
48,6340.76213837
49,6453.15313339
50,6653.40304375
51,6785.98999977
52,6883.25405121
53,7039.50715065
54,7382.07983971
55,7347.44620323
56,7534.49988365
57,7629.00519371
58,7955.30295372
59,8049.36695099
60,8081.36701584
61,8249.40395355
62,8658.30206871
63,8851.33314133
64,8753.88884544
65,8933.12597275
66,9020.42293549
67,9184.38792229
68,9325.80494881
69,9684.33094025
70,9641.21603966
71,9825.82402229
72,10047.6529598
73,10141.315937
74,10720.1199532
75,10769.5999146
76,10724.5810032
77,10918.1711674
78,11650.4619122
79,12948.2619762
80,11937.9680157
81,11921.7751026
82,12186.770916
83,11913.9640331
84,12096.9347954
85,12893.8260078
86,12472.4841118
87,12706.3868046
88,12810.2309704
89,12993.3488369
90,13370.0220585
91,13453.0699253
92,13653.7759304
93,13756.4640045
94,13941.2810802
95,14112.6918793
96,14315.7811165
97,14564.4030571
98,14841.5050507
99,15059.8111153
